PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A20591925009051,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.321,0.13
A20591926007H52,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.299,0.1404
A20591926008R73,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.301,0.1404
A20591926008T14,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.299,0.1404
A20591926008T92,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.299,0.1404
A20591926009051,"COVER, HEIGHT ADJUSTMENT",15486,1PV970,2.38,0.299,0.14478
A20591939009051,"COVER, SEAT RAIL",2982,1PV970,2.38,0.029,0.00456
A20591940009051,"COVER, SEAT RAIL",2982,1PV970,2.38,0.027,0.00456
A20591943009051,"COVER, SEAT RAIL",2982,1PV970,2.38,0.024,0.00468
A20591944009051,"COVER, SEAT RAIL",2982,1PV970,2.38,0.024,0.00468
A2059194600,MOUNTING CONSULE,21060,1PV970,2.38,0.153,0.01215
A20591949007H52,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.077,0.00888
A20591949008Q54,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.07,0.00888
A20591949008R73,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.08,0.00888
A20591949009051,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.07,0.00888
A20591950007H52,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.08,0.00888
A20591950007P82,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0,0
A20591950008Q54,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.08,0.00888
A20591950008R73,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.078,0.00888
A20591950008T14,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.078,0.00888
A20591950008T92,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.08,0.00888
A20591950008V17,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0,0
A20591950009051,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0.078,0.010175
A20591950009D88,"FACING, SEAT ADJUSTMENT",11622,1PV970,2.38,0,0
A20591951009051,"LEVER, HEIGHT ADJUSTMENT",2982,1PV970,2.38,0.022,0.0018
A20591953007H52,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.048,0.0112
A20591953008R73,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0,0
A20591953008T14,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.44,0.0112
A20591953008T92,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.045,0.1077375
A20591953009051,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.0091656
A20591954007H52,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.01008
A20591954007P82,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0,0
A20591954008R73,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.01008
A20591954008T14,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.00936
A20591954008T92,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.00936
A20591954009051,"COVER, HEIGHT ADJUSTMENT",4740,1PV970,2.38,0.044,0.00936
A20591955007H52,"COVER, HEIGHT ADJUSTMENT",9192,1PV970,2.38,0.099,0.0144
A20591955008R73,"COVER, HEIGHT ADJUSTMENT",9192,1PV970,2.38,0,0
A20591955008T14,"COVER, HEIGHT ADJUSTMENT",9192,1PV970,2.38,0.099,0.0144
