PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2015453940,BRACKET,384,1OV536,2.61,0.02,0.00045
A2015454228,RECEPTACLE HOUSING,606,1OV536,2.61,0.012,0.0005
A2025400724,HOUSING,91746,1OV536,2.61,0.51,0.21812
A2025456640,BRACKET,16374,1OV536,2.61,1.138,0.48285
A2105451040,BRACKET,1992,1OV536,2.61,0.155,0.02622
A2108200387,ADAPTER,6000,1OV536,2.61,0.005,0.00003
A2155450740,BRACKET,48156,1OV536,2.61,0.346,0.1188
A2155451240,BRACKET,52512,1OV536,2.61,0.177,0.0462
A2155451340,BRACKET,18846,1OV536,2.61,0.041,0.00924
A2155451440,BRACKET,13284,1OV536,2.61,0.014,0.002
A2155451540,BRACKET,55152,1OV536,2.61,0.432,0.12768
A2205460441,LINE CONNECTOR,57000,1OV536,2.61,0.488,0.02304
A2405400024,HOUSING,241164,1OV536,2.61,0,0
A2405400124,HOUSING,118200,1OV536,2.61,0.673,0.13662
A2405400269,FUSE CARRIER,173520,1OV536,2.61,0.395,0.01859
A2405400324,HOUSING,43800,1OV536,2.61,0.699,0.144
A2405400369,LUSTER TERMINAL,98400,1OV536,2.61,0.394,0.026
A2405400424,HOUSING,109200,1OV536,2.61,1.76,0.48285
A2405400524,HOUSING,240000,1OV536,2.61,1.841,0.48285
A2405450640,BRACKET,17280,1OV536,2.61,0.176,0.08064
A2405450701,FUSE BOX,176400,1OV536,2.61,1.52,0.1295
A2405450840,BRACKET,39600,1OV536,2.61,0.15,0.04025
A2405451140,BRACKET,45600,1OV536,2.61,0.068,0.0252
A2405451240,BRACKET,60000,1OV536,2.61,0.322,0.07744
A2405451440,BRACKET,57240,1OV536,2.61,0.386,0.1728
A2405451501,FUSE BOX,244746,1OV536,2.61,1.008,0.0936
A2405451540,BRACKET,64980,1OV536,2.61,0.14,0.042
A2405451640,BRACKET,64008,1OV536,2.61,0.155,0.07072
A2405451840,BRACKET,40032,1OV536,2.61,0.324,0.04375
A2405451940,BRACKET,70356,1OV536,2.61,0.294,0.1716
A2405452140,BRACKET,45540,1OV536,2.61,0.236,0.02907
A2405452201,CENTRAL ELE. DISTRIBUTOR,280200,1OV536,2.61,1.04,0.05148
A2405452301,CENTRAL ELE. DISTRIBUTOR,285000,1OV536,2.61,0.901,0.05148
A2405452401,CENTRAL ELE. DISTRIBUTOR,257400,1OV536,2.61,0.907,0.05148
A2405452501,CENTRAL ELE. DISTRIBUTOR,303600,1OV536,2.61,1.045,0.0936
A2405452601,"ELECT. CENTER, BASE MOD.",246600,1OV536,2.61,1.037,0.099
A240545260164,"ELECT. CENTER, BASE MOD.",243132,1OV536,2.61,1.025,0.099
A2405452701,"ELECT. CENTER, BASE MOD.",246600,1OV536,2.61,1,0.099
A2405452740,BRACKET,56490,1OV536,2.61,0.155,0.07616
A2405453040,BRACKET,28140,1OV536,2.61,0.074,0.0078
A2405453140,BRACKET,15918,1OV536,2.61,0.273,0.0078
A2405453340,BRACKET,56940,1OV536,2.61,0.123,0.06912
A2405453440,BRACKET,56940,1OV536,2.61,0.123,0.06912
A2405453640,BRACKET,15360,1OV536,2.61,0.106,0.0054
A2405453740,BRACKET,9600,1OV536,2.61,0.06,0.00312
A2405453940,BRACKET,16140,1OV536,2.61,0.041,0.0021
A2405454040,BRACKET,20052,1OV536,2.61,0,0
A2405454240,BRACKET,13362,1OV536,2.61,0.034,0.00189
A2405454340,BRACKET,12078,1OV536,2.61,0,0
A2405454440,BRACKET,28560,1OV536,2.61,0.203,0.01326
A2405454740,BRACKET,1062,1OV536,2.61,0.002,0.00011
A2405455040,BRACKET,86580,1OV536,2.61,0.561,0.34503
A2405455140,BRACKET,60,1OV536,2.61,0.002,0.00008
A2405455240,BRACKET,91560,1OV536,2.61,0.291,0.09016
A2405455340,BRACKET,57246,1OV536,2.61,0.335,0.0432
A2405455440,BRACKET,26340,1OV536,2.61,0.202,0.01428
A2405455540,BRACKET,3684,1OV536,2.61,0.004,0.00008
A2405455640,BRACKET,221700,1OV536,2.61,1.158,0.34056
A2405455740,BRACKET,8460,1OV536,2.61,0.062,0.0009
A2405455840,BRACKET,17040,1OV536,2.61,0.286,0.0084
A2405455940,BRACKET,8460,1OV536,2.61,0.066,0.0009
A2405456240,BRACKET,55140,1OV536,2.61,0.352,0.07744
A2405456340,BRACKET,57600,1OV536,2.61,0.348,0.02875
A2405456440,BRACKET,20244,1OV536,2.61,0,0
A2405456540,BRACKET,6600,1OV536,2.61,0.105,0.00456
A2405456640,BRACKET,65160,1OV536,2.61,0.288,0.10608
A2405456740,BRACKET,61260,1OV536,2.61,0.151,0.04992
A2405456840,BRACKET,8916,1OV536,2.61,0.044,0
A2405456940,BRACKET,8082,1OV536,2.61,0.072,0.00126
A2405457040,BRACKET,49980,1OV536,2.61,0.184,0.042
A2405457140,BRACKET,192468,1OV536,2.61,0,0
A2405457340,BRACKET,56922,1OV536,2.61,0,0
A2405457440,BRACKET,15798,1OV536,2.61,0.178,0.05712
A2405457540,BRACKET,18822,1OV536,2.61,0,0
A2405457840,BRACKET,9780,1OV536,2.61,0.175,0.03168
A2405458040,BRACKET,45960,1OV536,2.61,0.072,0.03808
A2405458140,BRACKET,34860,1OV536,2.61,0.23,0.03078
A2405458240,BRACKET,16320,1OV536,2.61,0.055,0.00224
A2405458340,BRACKET,14460,1OV536,2.61,0.062,0.00462
A2405458440,BRACKET,11700,1OV536,2.61,0.049,0.0036
A2405470001,CONDENSOR,22080,1OV536,2.61,0.104,0.006
A2408200037,BUSHING,81474,1OV536,2.61,0.169,0.006
A2408200087,ADAPTER,33612,1OV536,2.61,0.078,0.01836
A0001568101,CONDENSOR,21000,1OV536,2.61,0.015,0.0006
A0001568401,CONDENSOR,21000,1OV536,2.61,0.028,0.00064
A000156840167,CONDENSOR,27786,1OV536,2.61,0.024,0.00064
A0001569701,CONDENSOR,39000,1OV536,2.61,0.016,0.00045
A0005400169,CABLE CONNECTOR,2400,1OV536,2.61,0.004,0.00012
A0005400269,LINE CONNECTOR,3000,1OV536,2.61,0.008,0.00018
A0005400369,LUSTER TERMINAL,2628,1OV536,2.61,0.009,0.00024
A0005400869,CABLE CONNECTOR,2400,1OV536,2.61,0.015,0.0005
A0005401869,LINE CONNECTOR,34800,1OV536,2.61,0.158,0.0084
A0005402381,ADJUSTMENT CONNECTOR,3054,1OV536,2.61,0.009,0.00008
A0005402681,ADJUSTMENT CONNECTOR,4008,1OV536,2.61,0.009,0.00008
A0005402724,HOUSING,38550,1OV536,2.61,0.095,0.006
A0005404281,SOCKET,13200,1OV536,2.61,0.009,0.00016
A0005404681,"CLUTCH, MECHANICAL",10398,1OV536,2.61,0.035,0.00228
A0005405024,HOUSING,6600,1OV536,2.61,0.03,0.0021
A0005405381,ADJUSTMENT CONNECTOR,2916,1OV536,2.61,0.01,0.00032
A0005409381,"CLUTCH, MECHANICAL",1014,1OV536,2.61,0.011,0.00009
A0005450203,CAP,40944,1OV536,2.61,0.054,0.01092
A0005451003,CAP,58080,1OV536,2.61,0.098,0.00735
A0005452345,PROTECTIVE CAP,1500,1OV536,2.61,0.006,0.00075
A0005452830,CONNECTOR HOUSING,1800,1OV536,2.61,0.015,0.0002772
A0005452840,BRACKET,9900,1OV536,2.61,0.035,0.0024
A000545284064,BRACKET,9036,1OV536,2.61,0.035,0.0024
A0005453430,COVER,2460,1OV536,2.61,0.01,0.0006
A0005453528,"CLUTCH, MECHANICAL",18954,1OV536,2.61,0.028,0.0006
A0005453530,COVER,2640,1OV536,2.61,0.01,0.0006
A0005454730,HOUSING,1116,1OV536,2.61,0.002,0.00012
A0005455530,HOUSING,3018,1OV536,2.61,0.008,0.00056
A0005455740,BRACKET,1482,1OV536,2.61,0.001,0.00002
A0005457340,PLUG HOUSING,696,1OV536,2.61,0.001,0.00001
A0005457430,HOUSING,1830,1OV536,2.61,0.015,0.0009
A0005457530,HOUSING,1800,1OV536,2.61,0.013,0.00072
A0005457630,HOUSING,2400,1OV536,2.61,0.025,0.0014
A0005458303,CAP,600,1OV536,2.61,0.006,0.00054
A0005458403,CAP,168,1OV536,2.61,0.001,0.00004
A0005458503,CAP,1200,1OV536,2.61,0.001,0.00009
A0005458903,CAP,2256,1OV536,2.61,0.003,0.00012
A0005459983,CAP,1680,1OV536,2.61,0.001,0.00008
A0005460035,PROTECTIVE CAP,3666,1OV536,2.61,0.007,0.00045
A0005460280,LINE GUIDE,7530,1OV536,2.61,0.112,0.08436
A0005460380,LINE GUIDE,7494,1OV536,2.61,0.132,0.1071
A0005460480,LINE GUIDE,15000,1OV536,2.61,0.04,0.01152
A0005460780,LINE GUIDE,6840,1OV536,2.61,0.138,0.0882
A0005460941,CABLE CONNECTOR,29400,1OV536,2.61,0.04,0.00036
A0005463335,PROTECTIVE CAP,2538,1OV536,2.61,0.002,0.00024
A0005465235,PROTECTIVE CAP,17466,1OV536,2.61,0.008,0.0006
A0005465237,COVER,1800,1OV536,2.61,0.005,0.00144
A0005466940,RECEPTACLE,384,1OV536,2.61,0.001,0.00002
A0005467940,RECEPTACLE,1200,1OV536,2.61,0.001,0.00004
A0005469635,BOOT,2760,1OV536,2.61,0.024,0.0024
A0008211065,PLUG HOUSING,2022,1OV536,2.61,0.003,0.00024
A0008213235,PLUG,1200,1OV536,2.61,0.002,0.00027
A0011560501,CONDENSOR,39000,1OV536,2.61,0.05,0.0025
A0011560601,CONDENSOR,36042,1OV536,2.61,0.032,0.00448
A0011563101,CONDENSOR,10158,1OV536,2.61,0.013,0.00032
A0011566901,CONDENSOR,8400,1OV536,2.61,0.011,0.00036
