PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A16891014477D97,COVER,82614,1OV970,2.61,0.517,0.6633
A16891014477F27,COVER,82614,1OV970,2.61,0.523,0.6633
A16891014477F28,COVER,82614,1OV970,2.61,0.523,0.6633
A16891014477F29,COVER,14628,1OV970,2.61,0.523,0.6633
A16891014478J31,COVER,16524,1OV970,2.61,0.523,0.6633
A16891016467E07,COVER,44646,1OV970,2.61,0.479,0.31248
A16891016467F30,COVER,85074,1OV970,2.61,0.479,0.31248
A16891017463C53,COVER,269520,1OV970,2.61,0.527,0.6006
A16891018463C46,"COVER, DRIVER SEAT CUSH.",223236,1OV970,2.61,0.61,0.31248
A16891018465D07,"COVER, DRIVER SEAT CUSH.",223236,1OV970,2.61,0.61,0.6006
A16891018467E09,"COVER, DRIVER SEAT CUSH.",223236,1OV970,2.61,0.579,0.31248
A16891018467G02,"COVER, DRIVER SEAT CUSH.",223236,1OV970,2.61,0.532,0.31248
A16891018468G70,"COVER, DRIVER SEAT CUSH.",223236,1OV970,2.61,0.536,0.31248
A16891018477F30,COVER,29040,1OV970,2.61,0.637,0.59136
A16891020473C18,"COVER, DRIVER SEAT BCKRST",239058,1OV970,2.61,0,0
A16891020475D07,"COVER, DRIVER SEAT BCKRST",239058,1OV970,2.61,0.755,0.6633
A16891020477E09,"COVER, DRIVER SEAT BCKRST",239058,1OV970,2.61,0.705,0.6633
A16891020477G02,"COVER, DRIVER SEAT BCKRST",239058,1OV970,2.61,0.755,0.6006
A16891020478G70,"COVER, DRIVER SEAT BCKRST",239058,1OV970,2.61,0.755,0.6633
A16891021463C45,COVER,64182,1OV970,2.61,0.456,0.6006
A16891021467F27,COVER,64182,1OV970,2.61,0.456,0.6006
A16891021468J31,COVER,64182,1OV970,2.61,0.456,0.6006
A16891022467G02,COVER,223236,1OV970,2.61,0.395,0.6006
A1689102336,SEAT ADJUSTMENT,25812,1OV970,2.61,6.78,1.05625
A16891024477G68,COVER,56250,1OV970,2.61,0.395,0.6633
A16891025467G68,COVER,47712,1OV970,2.61,0.395,0.6006
A1689102636,SEAT ADJUSTMENT,28212,1OV970,2.61,6.664,1.05625
A1689106136,SEAT ADJUSTMENT,231000,1OV970,2.61,6.922,0.7395
A1689106236,SEAT ADJUSTMENT,62970,1OV970,2.61,6.942,0.7395
A1689106736,SEAT ADJUSTMENT,20400,1OV970,2.61,7.635,0.94208
A1689106836,SEAT ADJUSTMENT,84840,1OV970,2.61,7.654,0.7084
A1689140116,PADDING,42030,1OV970,2.61,1.281,0.48608
A16891401737D88,TRIM,63984,1OV970,2.61,1.014,0.6006
A16891403737D88,TRIM,65574,1OV970,2.61,1.132,0.6006
A16891405737D88,TRIM,1200,1OV970,2.61,0.794,0.28567
A16891406738G69,TRIM,48504,1OV970,2.61,0.794,0.28567
A16892001473C14,COVER,65064,1OV970,2.61,0.563,0.6006
A16892001477D92,COVER,65064,1OV970,2.61,0.563,0.6006
A16892001477D93,COVER,65064,1OV970,2.61,0.563,0.6006
A16892001477D97,COVER,65064,1OV970,2.61,0.563,0.6006
A16892002473C15,COVER,17742,1OV970,2.61,0.814,0.45144
A16892002477D92,COVER,88722,1OV970,2.61,0.814,0.5824
A16892002477D93,COVER,88722,1OV970,2.61,0.814,0.98056
A16892002477D97,COVER,88722,1OV970,2.61,0.814,0.98056
A16892003467F27,COVER,36978,1OV970,2.61,0.205,0.15824
A16892003468J31,COVER,36978,1OV970,2.61,0.205,0.18612
A16892004468J31,COVER,36978,1OV970,2.61,0.19,0.08118
A16892005463C15,COVER,38454,1OV970,2.61,0.388,0.51072
A16892005463C44,COVER,38454,1OV970,2.61,0.388,0.51072
A16892005465C10,COVER,38454,1OV970,2.61,0.388,0.51072
A16892005465D05,COVER,38454,1OV970,2.61,0.44,0.6006
A16892005465D06,COVER,38454,1OV970,2.61,0.44,0.6006
A16892005466C10,COVER,38454,1OV970,2.61,0.44,0.6006
