PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A22192032358M30,"COVER, CUSHION",948936,1PV970,2.38,1.55,1.0452
A22192032358M36,"COVER, CUSHION",948936,1PV970,2.38,0,0
A22192032358P86,"COVER, CUSHION",948936,1PV970,2.38,1.478,0.36448
A22192032359F17,"COVER, CUSHION",948936,1PV970,2.38,1.548,0.4424
A22192032371B67,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032371B69,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032371C00,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032373D46,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032378H36,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032378M78,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032378M79,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032378M82,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032378M83,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032379G93,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192032461B67,COVER,976008,1PV970,2.38,0,0
A22192032461B68,COVER,976008,1PV970,2.38,0,0
A22192032461B69,COVER,976008,1PV970,2.38,1.883,0.4488
A22192032463D46,COVER,976008,1PV970,2.38,0,0
A22192032466C68,COVER,976008,1PV970,2.38,0,0
A22192032467J97,COVER,976008,1PV970,2.38,0,0
A22192032468M78,COVER,976008,1PV970,2.38,0,0
A22192032468M79,COVER,976008,1PV970,2.38,0,0
A22192032468M82,COVER,976008,1PV970,2.38,0,0
A22192032468M83,COVER,976008,1PV970,2.38,1.863,0.33728
A22192032468M85,COVER,976008,1PV970,2.38,0,0
A22192032478L53,COVER,916218,1PV970,2.38,1.973,0.56
A2219203250,"PADDING, REAR CUSHION",305406,1PV970,2.38,1.565,0.5664
A22192033338P86,"COVER, BACKREST",1060236,1PV970,2.38,1.802,0.44712
A22192033339F17,"COVER, BACKREST",1060236,1PV970,2.38,1.812,0.44352
A22192033461B59,COVER,493266,1PV970,2.38,0,0
A22192033461B67,COVER,493266,1PV970,2.38,0,0
A22192033461B68,COVER,493266,1PV970,2.38,0,0
A22192033463D46,COVER,493266,1PV970,2.38,0,0
A22192033465E53,COVER,493266,1PV970,2.38,0,0
A22192033467J75,COVER,493266,1PV970,2.38,0,0
A22192033467J97,COVER,493266,1PV970,2.38,0,0
A22192033468M29,COVER,493266,1PV970,2.38,0,0
A22192033468M36,COVER,493266,1PV970,2.38,0,0
A22192033468M78,COVER,493266,1PV970,2.38,0,0
A22192033468M79,COVER,493266,1PV970,2.38,0,0
A22192033468M82,COVER,493266,1PV970,2.38,0,0
A22192033468M83,COVER,493266,1PV970,2.38,0.91,0.192
A22192033469F17,COVER,493266,1PV970,2.38,0.91,0.192
A22192034371B67,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.87,0.94116
A22192034371B69,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192034371C00,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.87,0.2176
A22192034373D46,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192034378H36,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192034378M78,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.87,0.2176
A22192034378M79,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192034378M82,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.714,0.1815
A22192034378M83,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192034379G93,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.758,0.94116
A22192034461B59,COVER,493266,1PV970,2.38,0,0
A22192034461B67,COVER,493266,1PV970,2.38,0,0
A22192034461B68,COVER,493266,1PV970,2.38,0,0
A22192034463D46,COVER,493266,1PV970,2.38,0,0
A22192034465E53,COVER,493266,1PV970,2.38,0,0
A22192034467J75,COVER,493266,1PV970,2.38,0.85,0.195
A22192034467J97,COVER,493266,1PV970,2.38,0,0
A22192034468M29,COVER,493266,1PV970,2.38,0,0
A22192034468M36,COVER,493266,1PV970,2.38,0,0
A22192034468M78,COVER,493266,1PV970,2.38,0,0
A22192034468M79,COVER,493266,1PV970,2.38,0,0
A22192034468M82,COVER,493266,1PV970,2.38,0,0
A22192034468M83,COVER,493266,1PV970,2.38,0,0
A22192034469F17,COVER,493266,1PV970,2.38,0.85,0.195
A2219203516,PADDING,482148,1PV970,2.38,5.775,1.60264
A22192035339E61,"COVER, BACKREST",308496,1PV970,2.38,1.485,0.4224
A22192035371B67,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.83,0.14256
A22192035371B69,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192035371C00,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.83,0.14256
A22192035373D46,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192035378H36,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192035378M78,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.83,0.14256
A22192035378M79,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.732,0.94116
A22192035378M82,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192035378M83,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192035379G93,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A2219203616,PADDING,509292,1PV970,2.38,5.778,1.56156
A22192036339E61,"COVER, BACKREST",342006,1PV970,2.38,1.634,0.4424
A22192036378H37,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192036378L39,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192036378L88,"COVER, SEAT CUSHION",493266,1PV970,2.38,0,0
A22192036379E85,"COVER, SEAT CUSHION",493266,1PV970,2.38,0.97,0.17875
A2219203716,PADDING,1289364,1PV970,2.38,5.92,1.60264
A22192037337J95,"COVER, BACKREST",896946,1PV970,2.38,0,0
A22192037338L19,"COVER, BACKREST",896946,1PV970,2.38,0,0
A22192037338L54,"COVER, BACKREST",896946,1PV970,2.38,1.95,0.68
A22192037338P76,"COVER, BACKREST",896946,1PV970,2.38,0,0
A22192037339E43,"COVER, BACKREST",896946,1PV970,2.38,1.95,0.68
A22192037357L78,"COVER, CUSHION",462420,1PV970,2.38,0.795,0.26733
A22192037358M30,"COVER, CUSHION",462420,1PV970,2.38,0,0
A22192037358M36,"COVER, CUSHION",462420,1PV970,2.38,0.749,0.26733
A22192037358P86,"COVER, CUSHION",462420,1PV970,2.38,0.802,0.20832
A22192037358X19,"COVER, CUSHION",462420,1PV970,2.38,0.735,0.32175
A22192037359F17,"COVER, CUSHION",462420,1PV970,2.38,0.72,0.286
A22192037359X08,"COVER, CUSHION",462420,1PV970,2.38,0.716,0.26733
A22192037461B67,COVER,493266,1PV970,2.38,0,0
A22192037461B68,COVER,493266,1PV970,2.38,0.89,0.2379
A22192037461B69,COVER,493266,1PV970,2.38,0,0
A22192037463D46,COVER,493266,1PV970,2.38,0,0
A22192037466C68,COVER,493266,1PV970,2.38,0,0
A22192037467J97,COVER,493266,1PV970,2.38,0,0
A22192037468M79,COVER,493266,1PV970,2.38,0,0
A22192037468M82,COVER,493266,1PV970,2.38,0,0
A22192037468M83,COVER,493266,1PV970,2.38,0,0
A2219203816,PADDING,1274652,1PV970,2.38,5.996,1.60264
