PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A9493230884,SHIM,85986,2LV303,2.25,6.425,0
A9493231184,SHIM,79248,2LV303,2.25,0.001,0
A9493231784,SHIM,108564,2LV303,2.25,0.001,0
A9493231884,SHIM,108564,2LV303,2.25,0.001,0
A9493260063,BEARING BRACKET,33258,2LV303,2.25,0.001,0
A9493260147,SHACKLE,52902,2LV303,2.25,0.001,0
A9493260163,BEARING BRACKET,70596,2LV303,2.25,0.001,0
A9573250209,BEARING BRACKET,232374,2LV303,2.25,9.14,0.07904
A9603220409,SPRING CLAMP PLATE,178176,2LV303,2.25,4.709,0.01024
A9603220609,SPRING CLAMP PLATE,71502,2LV303,2.25,2.806,0.0084
A9603221828,BASE,97782,2LV303,2.25,3.437,0.01926925
A9603221928,BASE,97782,2LV303,2.25,3.4,0.02352
A9603230363,BRG. BRACKET STABILIZER,24066,2LV303,2.25,0,0
A9603230763,BRG. BRACKET STABILIZER,35028,2LV303,2.25,0,0
A9603231563,BRG. BRACKET STABILIZER,35028,2LV303,2.25,0,0
A9603231963,BRG. BRACKET STABILIZER,43662,2LV303,2.25,0,0
A9603232063,BRG. BRACKET STABILIZER,43662,2LV303,2.25,0,0
A9603232363,BRG. BRACKET STABILIZER,27036,2LV303,2.25,0,0
A9603250209,LINK BRACKET,564432,2LV303,2.25,0,0
A9603250609,BEARING BRACKET,131586,2LV303,2.25,0,0
A9603250809,BEARING BRACKET,115392,2LV303,2.25,0,0
A9603250912,SPRING SADDLE,267864,2LV303,2.25,0,0
A9603251609,BEARING BRACKET,75894,2LV303,2.25,0,0
A9603251709,BEARING BRACKET,71400,2LV303,2.25,0,0
A9603253009,BEARING BRACKET,263772,2LV303,2.25,0,0
A9603253109,BEARING BRACKET,263772,2LV303,2.25,0,0
A9603254409,LINK BRACKET,151524,2LV303,2.25,0,0
A9603254509,LINK BRACKET,120516,2LV303,2.25,0,0
A9603254609,LINK BRACKET,120516,2LV303,2.25,0,0
A9603254709,LINK BRACKET,120516,2LV303,2.25,0,0
A9603254809,LINK BRACKET,120516,2LV303,2.25,0,0
A9603254909,LINK BRACKET,141648,2LV303,2.25,0,0
A9603255009,LINK BRACKET,140328,2LV303,2.25,0,0
A9603255109,BEARING BRACKET,83772,2LV303,2.25,0,0
A9603255309,BEARING BRACKET,85500,2LV303,2.25,0,0
A9603255409,BEARING BRACKET,85500,2LV303,2.25,0,0
A9603255509,BEARING BRACKET,109746,2LV303,2.25,0,0
A9603255609,BEARING BRACKET,109746,2LV303,2.25,0,0
A9603257609,LINK BRACKET,135084,2LV303,2.25,0,0
A9603258209,CENTER BEARING BRACKET,480498,2LV303,2.25,0,0
A9603259209,BEARING BRACKET,75894,2LV303,2.25,0,0
A9603260378,MOUNTING CONSULE,68586,2LV303,2.25,2.25,0.0153254
A9603260678,MOUNTING CONSULE,45720,2LV303,2.25,2.3,0.019608
A9603260778,MOUNTING CONSULE,66588,2LV303,2.25,2.45,0.02205
A9603261078,MOUNTING CONSULE,45720,2LV303,2.25,2.35,0.016416
A9603261278,MOUNTING CONSULE,62244,2LV303,2.25,1.759,0.0109725
A9603261378,MOUNTING CONSULE,62250,2LV303,2.25,1.812,0.009728
A9603261478,MOUNTING CONSULE,62250,2LV303,2.25,1.81,0.009728
A9603280241,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9603280341,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9603281041,AIR BELLOWS SUPPORT,318120,2LV303,2.25,0,0
A9603281141,AIR BELLOWS SUPPORT,318120,2LV303,2.25,0,0
A9603283541,AIR BELLOWS SUPPORT,318120,2LV303,2.25,0,0
A9603284441,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9603284541,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9603285041,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9603285141,AIR BELLOWS SUPPORT,350010,2LV303,2.25,0,0
A9613250184,BASE,66876,2LV303,2.25,0,0
A9613250414,CENTER BEARING BRACKET,486144,2LV303,2.25,0,0
A9613250509,CENTER BEARING BRACKET,480498,2LV303,2.25,0,0
A9613250709,LINK BRACKET,145380,2LV303,2.25,0,0
A9613250809,LINK BRACKET,145380,2LV303,2.25,14.922,0.1288
A9613250909,LINK BRACKET,172464,2LV303,2.25,0,0
A9613251009,LINK BRACKET,172464,2LV303,2.25,0,0
A9613251109,BEARING BRACKET,75894,2LV303,2.25,0,0
A9613251309,BEARING BRACKET,263772,2LV303,2.25,0,0
A9613251409,BEARING BRACKET,263772,2LV303,2.25,0,0
A9613251709,BEARING BRACKET,237396,2LV303,2.25,0,0
A9613251714,LINK BRACKET,172956,2LV303,2.25,0,0
A9613251809,BEARING BRACKET,237396,2LV303,2.25,0,0
A9613251814,LINK BRACKET,172956,2LV303,2.25,0,0
A9613251909,BEARING BRACKET,237396,2LV303,2.25,0,0
A9613251914,LINK BRACKET,182454,2LV303,2.25,0,0
A9613252009,BEARING BRACKET,237396,2LV303,2.25,0,0
A9613252014,LINK BRACKET,182454,2LV303,2.25,0,0
A9613252509,BEARING BRACKET,201786,2LV303,2.25,0,0
A9613252809,BEARING BRACKET,201786,2LV303,2.25,0,0
A9613253809,BEARING BRACKET,78372,2LV303,2.25,0,0
A9613256809,LINK BRACKET,151536,2LV303,2.25,0,0
A9613256909,LINK BRACKET,168678,2LV303,2.25,0,0
A9613257009,LINK BRACKET,168678,2LV303,2.25,0,0
A9613258009,BEARING BRACKET,68100,2LV303,2.25,0,0
A9613258109,BEARING BRACKET,68100,2LV303,2.25,0,0
A9613258409,BEARING BRACKET,411840,2LV303,2.25,34.84,0.98
A9613258709,BEARING BRACKET,272376,2LV303,2.25,0,0
A9613258809,BEARING BRACKET,272376,2LV303,2.25,0,0
A9613259109,BEARING BRACKET,76608,2LV303,2.25,0,0
A9703220184,LEAF SPRING SHIM,26526,2LV303,2.25,3.9,0.01248
A9703221284,LEAF SPRING SHIM,42726,2LV303,2.25,0.001,0
A9703221384,LEAF SPRING SHIM,31596,2LV303,2.25,0.001,0
A9703221484,LEAF SPRING SHIM,42726,2LV303,2.25,0.001,0
A9703230463,BEARING BRACKET,18582,2LV303,2.25,1.394,0.01386
A9723220484,SPRING SHIM,37614,2LV303,2.25,0.001,0
A9723221184,LEAF SPRING SHIM,15528,2LV303,2.25,0.001,0
A9723221284,LEAF SPRING SHIM,9690,2LV303,2.25,0.001,0
A9723230263,BEARING BRACKET,29730,2LV303,2.25,0.001,0
A9723230363,BEARING BRACKET,29730,2LV303,2.25,0.001,0
A9743220084,LEAF SPRING SHIM,14268,2LV303,2.25,3.129,0.00832
A9743250426,PLATE,32838,2LV303,2.25,6.32,0.05175
A9743250526,PLATE,41640,2LV303,2.25,0.001,0
