PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A17791023039K48,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.882,0.80154
A1779102403289K48,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.894,0.80154
A17791024037Q53,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.894,0.80154
A17791024039K48,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.893,0.80154
A1779102601,"PADDING, DRVR SEAT CUSH.",49152,1PV970,2.38,1.164,0.3465
A1779102602,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0,0
A17791026027C70,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.83,0.256
A17791026027Q53,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.842,0.5472
A17791026028H36,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.842,0.5472
A17791026029H93,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.842,0.5472
A1779102701,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.635,0.94146
A1779102702,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0,0
A17791027027C70,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.82,0.4602
A17791027027Q53,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.842,0.5472
A17791027028H36,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.851,0.5472
A17791027029H93,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.842,0.5472
A17791027031D01,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A1779102703289D88,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791027038U01,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791027039D88,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.972,0.80154
A1779102801,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.653,1.026
A17791028031D01,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A1779102803289D88,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.987,0.80154
A17791028038U01,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791028039D88,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.987,0.80154
A1779102901,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.253,0.80017
A17791029031D01,DRIVER SEAT CUSHION,471270,1PV970,2.38,0,0
A17791029038U01,DRIVER SEAT CUSHION,471270,1PV970,2.38,0,0
A17791029039D88,DRIVER SEAT CUSHION,471270,1PV970,2.38,1.96,0.80154
A1779103001,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.32,0.91584
A17791030031D01,DRIVER SEAT CUSHION,471270,1PV970,2.38,0,0
A17791030038U01,DRIVER SEAT CUSHION,471270,1PV970,2.38,0,0
A17791030039D88,DRIVER SEAT CUSHION,471270,1PV970,2.38,2.047,0.80154
A1779103101,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.415,1.14816
A17791031031D01,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.983,0.80154
A1779103201,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.426,1.15506
A17791032031D01,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.977,0.80154
A1779103203281D01,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.977,0.80154
A1779103301,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.323,1.0695
A17791033031D01,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.961,0.80154
A1779103401,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.348,1.04811
A17791034031D01,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.956,0.80154
A17791035039E43,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.958,0.80154
A1779103603289E43,DRIVER SEAT CUSHION,566604,1PV970,2.38,1.994,0.80154
A17791036038V58,DRIVER SEAT CUSHION,566604,1PV970,2.38,1.989,0.80154
A17791036039E43,DRIVER SEAT CUSHION,566604,1PV970,2.38,1.989,0.80154
A1779103702,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791037028V58,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.969,0.36192
A17791037029E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.969,0.36192
A1779103802,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A1779103802649E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.963,0.3234
A17791038028V58,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.963,0.3234
A17791038029E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.963,0.3234
A1779103803289E43,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.976,0.80154
A17791038038V58,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.976,0.80154
A17791038039E43,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.976,0.80154
A1779103902,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791039028V58,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.987,0.4176
A17791039029E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.987,0.4176
A17791039033D57,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.791,0.80154
A17791039037Q45,DRIVER SEAT CUSHION,566334,1PV970,2.38,1.971,0.80154
A1779104002,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791040028V58,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.999,0.2233
A17791040029E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.962,0.2233
A17791040031C88,DRIVER SEAT CUSHION,489126,1PV970,2.38,0,0
A1779104003283D57,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.981,0.6633
A17791040033D57,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.981,0.6633
A17791040037Q45,DRIVER SEAT CUSHION,489126,1PV970,2.38,1.972,0.6633
A1779104100,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.394,0.9855
A17791041037Q45,DRIVER SEAT CUSHION,591684,1PV970,2.38,1.994,0.6633
A1779104200,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.391,1.02492
A17791042033D57,DRIVER SEAT CUSHION,591678,1PV970,2.38,1.987,0.6633
A1779104300,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.624,0.96096
A17791043031C88,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A1779104303289H93,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.914,0.6633
A17791043036C83,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791043037P83,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791043038H36,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.913,0.6633
A17791043039H93,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.913,0.6633
A1779104400,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.644,0.96096
A17791044029K46,"COVER, DRIVER SEAT CUSH.",76740,1PV970,2.38,0.466,0.13568
A17791044031C88,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A1779104403289H93,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.928,0.6633
A17791044036C83,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.928,0.6633
A17791044037P83,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A17791044039H93,DRIVER SEAT CUSHION,445914,1PV970,2.38,1.928,0.6633
A1779104500,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.321,1.15506
A1779104502,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791045023D57,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.953,0.36192
A17791045027Q45,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.953,0.36192
A17791045038H36,DRIVER SEAT CUSHION,445914,1PV970,2.38,0,0
A1779104600,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.414,1.20528
A1779104602,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791046023D57,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.968,0.36192
A17791046027Q45,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.952,0.36192
A1779104702,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791047023D57,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.987,0.31262
A17791047027Q45,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0.974,0.35728
A17791048023D57,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,1.012,0.40887
A17791048027Q45,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,1.012,0.40887
A17791049029K46,"COVER, DRIVER SEAT BCKRST",106584,1PV970,2.38,1.168,0.33072
A17791050029K46,"COVER, DRIVER SEAT BCKRST",106584,1PV970,2.38,1.17,0.4275
A17791051009K46,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0,0
A1779105102,"COVER, DRIVER SEAT CUSH.",37380,1PV970,2.38,0,0
A17791051029H33,"COVER, DRIVER SEAT CUSH.",37380,1PV970,2.38,0,0
A17791051029H93,"COVER, DRIVER SEAT CUSH.",40512,1PV970,2.38,0.09,0.0441
A17791052009K46,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.776,0.34048
A1779105202,"COVER, DRIVER SEAT CUSH.",83142,1PV970,2.38,0,0
A17791052028U01,"COVER, DRIVER SEAT CUSH.",122862,1PV970,2.38,0.56,0.2464
A17791052029D88,"COVER, DRIVER SEAT CUSH.",122862,1PV970,2.38,0.56,0.2464
A17791053028U01,"COVER, DRIVER SEAT BCKRST",167766,1PV970,2.38,1.16,0.4692
A17791053029D88,"COVER, DRIVER SEAT BCKRST",167766,1PV970,2.38,1.16,0.4692
A17791054029D88,"COVER, DRIVER SEAT BCKRST",167766,1PV970,2.38,1.161,0.7176
A1779105404,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,0,0
A1779105502,"COVER, DRIVER SEAT CUSH.",83142,1PV970,2.38,0,0
A17791055028U01,"COVER, DRIVER SEAT CUSH.",83142,1PV970,2.38,0.588,0.21546
A17791055029D88,"COVER, DRIVER SEAT CUSH.",83142,1PV970,2.38,0.586,0.2464
A1779105504,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,0,0
A17791057007X99,"FACING, SEAT ADJUSTMENT",8946,1PV970,2.38,0,0
A17791057008T92,"FACING, SEAT ADJUSTMENT",8946,1PV970,2.38,0.15,0.04095
A17791057008X99,"FACING, SEAT ADJUSTMENT",8946,1PV970,2.38,0,0
A17791057009051,"FACING, SEAT ADJUSTMENT",9342,1PV970,2.38,0.151,0.04095
A17791057009X99,"FACING, SEAT ADJUSTMENT",8946,1PV970,2.38,0,0
A17791057028U01,"COVER, DRIVER SEAT BCKRST",167766,1PV970,2.38,1.213,0.68448
A17791058008T92,"FACING, SEAT ADJUSTMENT",9342,1PV970,2.38,0.152,0.040755
A17791058009051,"FACING, SEAT ADJUSTMENT",9342,1PV970,2.38,0.152,0.040755
A17791063039K47,"COVER, DRIVER SEAT BCKRST",106584,1PV970,2.38,0.845,0.17556
A17791064039K47,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.881,0.31388
A17791065037Q53,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.875,0.35728
A17791065039K48,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.875,0.35728
A1779106703,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067031D01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067037X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067038U01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.968,0.25992
A17791067038V56,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067038X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067039D88,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.968,0.25992
A17791067039X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791067049K46,"COVER, DRIVER SEAT BCKRST",111906,1PV970,2.38,0.784,0.24486
A1779106803,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791068031D01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791068037X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791068039D88,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.96,0.34944
A1779106900,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.29,0.73059
A1779106903,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791069038U01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.99,0.29792
A17791069038V56,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791069038X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791069039D88,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.97,0.25536
A17791069039X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A1779107000,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.322,0.84672
A1779107003,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070031D01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070037X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070038U01,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070038V56,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070038X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A17791070039D88,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0.98,0.26676
A17791070039X99,"COVER, DRIVER SEAT BCKRST",154548,1PV970,2.38,0,0
A1779107102,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.395,0.93933
A1779107103,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791071038T99,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791071039E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,1.976,0.42408
A1779107202,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.4,0.93933
A1779107203,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791072038T99,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791072039E43,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,1,0.35392
A1779107302,"PADDING, DRVR SEAT BCKRST",70890,1PV970,2.38,1.382,0.949
A1779107303,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
A17791073038T99,"COVER, DRIVER SEAT BCKRST",319242,1PV970,2.38,0,0
