PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A1769066800,SEAT HEATER,66108,1PV970,2.38,0.07,0.2268
A1769067200,SEAT HEATER,66108,1PV970,2.38,0.109,0.2268
A1769067300,SEAT HEATER,66108,1PV970,2.38,0.1,0.2268
A1769069300,SEAT HEATER,68388,1PV970,2.38,0.075,0.2448
A1769069800,SEAT HEATER,66108,1PV970,2.38,0.076,0.2448
A176906980064,SEAT HEATER,66108,1PV970,2.38,0.076,0.2268
A1769069900,SEAT HEATER,66108,1PV970,2.38,0.071,0.2448
A176906990064,SEAT HEATER,66108,1PV970,2.38,0.071,0.2448
A1769101101,STIFFENER,115650,1PV970,2.38,0.65,0.45936
A1769101201,STIFFENER,114504,1PV970,2.38,0.655,0.41496
A1769101401,STIFFENER,114504,1PV970,2.38,0,0
A17691025032A17,RS TRIM,94128,1PV970,2.38,0,0
A17691025039051,RS TRIM,94128,1PV970,2.38,0.845,0.15456
A17691029032A17,RS TRIM,211746,1PV970,2.38,0.891,0.13728
A17691029039051,RS TRIM,211746,1PV970,2.38,0,0
A1769102905,STIFFENER,114504,1PV970,2.38,0.643,0.21216
A1769104101,"COVER, BACKREST",106866,1PV970,2.38,0,0
A1769104301,"COVER, BACKREST",91608,1PV970,2.38,0.369,0.13728
A17691043019116,"COVER, BACKREST",91608,1PV970,2.38,0.369,0.13728
A1769104401,"COVER, BACKREST",106866,1PV970,2.38,0,0
A17691044019116,"COVER, BACKREST",106866,1PV970,2.38,0,0
A1769104501,"COVER, BACKREST",91608,1PV970,2.38,0.158,0.07667
A17691045018U25,"COVER, BACKREST",91608,1PV970,2.38,0,0
A17691045019116,"COVER, BACKREST",91608,1PV970,2.38,0.157,0.004446
A1769104601,"COVER, BACKREST",91608,1PV970,2.38,0.157,0.07667
A17691046018U25,"COVER, BACKREST",91608,1PV970,2.38,0,0
A17691046019116,"COVER, BACKREST",91608,1PV970,2.38,0.159,0.07667
A1769104801,"COVER, BACKREST",91608,1PV970,2.38,0.376,0.15435
A17691048019116,"COVER, BACKREST",91608,1PV970,2.38,0.378,0.15435
A1769105103,"COVER, BACKREST",91608,1PV970,2.38,0,0
A17691051039116,"COVER, BACKREST",91608,1PV970,2.38,0.283,0.13728
A17691051039H44,"COVER, BACKREST",91608,1PV970,2.38,0.283,0.13728
A1769105203,"COVER, BACKREST",91608,1PV970,2.38,0,0
A17691052039116,"COVER, BACKREST",91608,1PV970,2.38,0.289,0.13728
A17691052039H44,"COVER, BACKREST",91608,1PV970,2.38,0.289,0.13728
A1769107306,GUIDE RAIL,27210,1PV970,2.38,0.53,0.04446
A17691073068L36,GUIDE RAIL,27210,1PV970,2.38,0,0
A17691073069H68,GUIDE RAIL,27210,1PV970,2.38,0,0
A17691085081C24,DRIVER SEAT CUSHION,201510,1PV970,2.38,1.91,0.51072
A17691085089J00,DRIVER SEAT CUSHION,201510,1PV970,2.38,1.82,0.51072
A1769108600,BACKREST SHELL,538146,1PV970,2.38,6.119,1.60264
A1769108700,BACKREST SHELL,538146,1PV970,2.38,6.099,1.60264
A1769108800,BACKREST SHELL,686154,1PV970,2.38,6.731,1.60264
A1769108900,BACKREST SHELL,686154,1PV970,2.38,6.668,1.60264
A17691089081C24,DRIVER SEAT CUSHION,201510,1PV970,2.38,1.816,0.51072
A17691089089J00,DRIVER SEAT CUSHION,201510,1PV970,2.38,1.816,0.51072
A17691094009116,BACKREST SHELL,243378,1PV970,2.38,3.659,1.60264
A17691095009116,BACKREST SHELL,243378,1PV970,2.38,3.554,1.60264
A1769109702,STIFFENER,68694,1PV970,2.38,0.574,0.41496
A1769109704,GUIDE RAIL,27210,1PV970,2.38,0.528,0.0936
A17691097047H52,GUIDE RAIL,27210,1PV970,2.38,0,0
A17691097048L36,GUIDE RAIL,27210,1PV970,2.38,0,0
A17691097049H68,GUIDE RAIL,27210,1PV970,2.38,0.532,0.07744
A1769109705,DRIVER SEAT CUSHION,66768,1PV970,2.38,0.136,0.03807
A1769110000,REINFORCEMENT,5064,1PV970,2.38,0.011,0.000075
A17691300007H52,"COVER, BACKREST",6606,1PV970,2.38,0.003,0.00099
A17691300008L36,"COVER, BACKREST",6606,1PV970,2.38,0.009,0.00099
A17691300009051,"COVER, BACKREST",6606,1PV970,2.38,0.003,0.00099
A1769130028647H52,"COVER, BACKREST",26874,1PV970,2.38,0.069,0.0154
A1769130028649051,"COVER, BACKREST",29124,1PV970,2.38,0.068,0.0154
A1769130028659051,"COVER, BACKREST",26874,1PV970,2.38,0.068,0.0154
A1769130128,"COVER, BACKREST",11226,1PV970,2.38,0.105,0.0168
A1769130200,SUPPORT PLATE,15486,1PV970,2.38,0.349,0.175545
A17691901009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.041,0.006
A17691902009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.02,0.0048
A17691905009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.041,0.006375
A17691906009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.041,0.006375
A17691907009H68,"COVER, SEAT RAIL",3234,1PV970,2.38,0.048,0.00676
A17691908009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.047,0.0091125
A17691911009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.048,0.0077
A17691912009H68,"COVER, SEAT RAIL",2982,1PV970,2.38,0.048,0.0084
A1769191600,"FACING, SEAT ADJUSTMENT",23124,1PV970,2.38,0.015,0.00068
A1769191700,"FACING, SEAT ADJUSTMENT",23124,1PV970,2.38,0.018,0.0008316
A1769191900649051,GRAB HANDLE,3870,1PV970,2.38,0.038,0.00204
A17691919009051,GRAB HANDLE,3870,1PV970,2.38,0.038,0.00204
A17691920009H68,"COVER, SEAT RAIL",828,1PV970,2.38,0.042,0.00676
A1769192300649H68,"FACING, SEAT ADJUSTMENT",6786,1PV970,2.38,0.047,0.00544
A17691923007H52,"FACING, SEAT ADJUSTMENT",6786,1PV970,2.38,0.047,0.00544
A17691923008L36,"FACING, SEAT ADJUSTMENT",6786,1PV970,2.38,0.047,0.00544
A17691923009H68,"FACING, SEAT ADJUSTMENT",6786,1PV970,2.38,0.047,0.00544
A1769200000,RETAINING BRACKET,3930,1PV970,2.38,0.159,0.003375
A1769200032,BACKREST FRAME,194754,1PV970,2.38,7.252,0.4218
A1769200100,RETAINING BRACKET,4260,1PV970,2.38,0.159,0.003375
A1769200124,PIVOT BEARING,12486,1PV970,2.38,0.74,0.0372
A176920012464,PIVOT BEARING,12486,1PV970,2.38,0.74,0.0372
A1769200132,BACKREST FRAME,194754,1PV970,2.38,7.35,0.425315
A1769200224,PIVOT BEARING,12486,1PV970,2.38,0.73,0.0315
A1769200324,PIVOT BEARING,15804,1PV970,2.38,0.93,0.05746
A1769200332,BACKREST FRAME,194754,1PV970,2.38,7.17,0.34928
A1769207400,"PADDING, REAR BACKREST",42714,1PV970,2.38,0.895,0.60809
A1769208601,"PADDING, REAR BACKREST",42714,1PV970,2.38,0.866,0.61642
A1769209300,LOCK FOR SEAT BACKREST,66582,1PV970,2.38,0.426,0.0209
A1769209400,LOCK FOR SEAT BACKREST,66582,1PV970,2.38,0.426,0.0209
A17692300057H52,"FACING, RELEASE HANDLE",7548,1PV970,2.38,0.034,0.00726
A17692300058L36,"FACING, RELEASE HANDLE",7548,1PV970,2.38,0,0
